Ultimo;Abertura;Maxima;Minima;Var%
220,97;218,94;220,97;218,94;0,54%
219,79;231,45;231,45;219,79;-0,91%
221,81;219,98;221,81;219,98;0,64%
220,39;220,73;220,73;220,39;0,03%
220,32;231,45;231,45;220,32;0,48%
219,26;218,9;219,26;218,9;0,10%
219,04;221,94;221,94;219,04;-1,44%
222,24;222,22;222,24;222,22;0,33%
221,5;231,45;231,45;221,5;-4,66%
232,33;229,27;232,33;229,27;1,01%
230;231,44;231,44;230;-1,19%
232,76;232,29;232,76;232,29;0,02%
232,72;231,44;232,72;231,44;0,03%
232,64;237,19;237,19;232,64;-2,24%
237,96;237,87;237,96;237,87;-0,27%
238,6;238,83;238,83;238,6;-0,54%
239,89;239,9;239,9;239,89;0,33%
239,1;241,55;241,55;239,1;-1,19%
241,98;240,88;241,98;240,88;0,40%
241,02;245,7;245,7;241,02;-2,76%
247,86;242,24;247,86;242,24;2,32%
242,24;242,24;242,24;242,24;4,56%
231,68;231,68;231,68;231,68;1,69%
227,84;252,34;252,34;227,84;-9,86%
252,75;256,89;256,89;252,75;-2,04%
258,01;265,82;265,82;258,01;-3,96%
268,64;274,22;274,22;268,64;-2,45%
275,39;280,5;280,5;275,39;-1,78%
280,37;280,37;280,37;280,37;0,01%
280,35;282,54;282,54;279,12;-0,78%
282,54;281,66;282,54;281,66;-1,03%
285,47;274,75;285,47;274,75;3,32%
276,31;276,62;276,62;276,31;-0,74%
278,37;273,86;278,37;273,86;1,49%
274,29;274,28;274,29;274,28;-1,97%
279,79;281,7;281,7;279,79;0,74%
277,74;279,8;279,8;277,74;-0,92%
280,32;282,73;282,73;280,32;-0,85%
282,71;281,7;282,71;281,7;0,31%
281,85;285,45;285,45;281,85;-1,72%
286,78;284,38;286,78;284,38;0,12%
286,43;285,4;286,43;285,4;1,49%
282,22;278,9;282,22;278,9;1,15%
279,01;278,95;279,01;278,95;-0,01%
279,03;285,4;285,4;279,03;-2,39%
285,87;307,38;307,38;285,87;-1,26%
289,51;295,55;295,55;289,51;-0,83%
291,92;296,43;296,43;291,92;-1,10%
295,16;307,38;307,38;295,16;-4,23%
308,21;306,25;308,21;306,25;0,25%
307,45;309,33;309,33;307,45;-1,18%
311,12;314,83;314,83;311,12;-1,48%
315,8;313,04;315,8;313,04;1,30%
311,76;313,05;313,05;311,76;-0,31%
312,73;313,04;313,04;312,73;-1,03%
315,98;313,05;315,98;313,05;2,58%
308,03;258,39;308,03;258,39;3,30%
298,19;290,86;298,19;290,86;1,93%
292,54;263,18;292,54;263,18;8,71%
269,09;260,28;269,09;260,28;1,41%
265,35;258,39;265,35;258,39;0,90%
262,98;260,28;262,98;260,28;-0,22%
263,55;263,18;263,55;263,18;-1,01%
266,25;263,98;266,25;263,98;-0,88%
268,62;266,9;268,62;266,9;1,13%
265,62;270,26;270,26;265,62;-2,47%
272,34;274,33;274,33;272,34;-2,11%
278,22;270,26;278,22;270,26;1,95%
272,9;270,26;272,9;270,26;0,02%
272,84;274,29;274,29;272,84;1,61%
268,52;288,64;288,64;268,52;3,15%
260,31;274,29;274,29;260,31;-2,63%
267,33;274,29;274,29;267,33;-4,17%
278,97;274,29;278,97;274,29;0,56%
277,43;283,32;283,32;277,43;-3,24%
286,72;286,04;286,72;286,04;-0,96%
289,51;276,58;289,51;276,58;3,56%
279,57;278,34;279,57;278,34;-0,96%
282,27;285,9;285,9;282,27;-2,31%
288,94;288,64;288,94;288,64;-3,39%
299,07;288,81;299,07;288,81;2,72%
291,16;285,65;291,16;285,65;1,09%
288,02;291,398;291,398;288,02;-2,16%
294,37;289,6;294,37;289,6;0,80%
292,04;277,48;292,04;277,48;2,12%
285,97;277,48;285,97;277,48;4,15%
274,57;270,85;274,57;270,85;1,09%
271,61;272,59;272,59;271,61;-1,23%
275;277,52;277,52;275;-2,18%
281,13;277,198;281,13;277,198;0,47%
279,82;282,7;282,7;279,82;-1,48%
284,01;282,7;284,01;282,7;-1,00%
286,88;280,16;286,88;280,16;1,63%
282,28;281,952;282,28;279,97;0,12%
281,952;281,952;281,952;281,952;-1,78%
287,05;279,83;287,05;279,83;1,26%
283,48;284,52;284,52;283,48;-1,42%
287,56;282,05;287,56;282,05;0,07%
287,35;289,58;289,58;287,35;-1,72%
292,37;286,6;292,37;286,6;2,65%
284,81;264,64;284,81;264,64;6,28%
267,97;274,08;274,08;267,97;-2,57%
275,05;283,64;283,64;275,05;-4,33%
287,51;293,3;293,3;287,51;-2,35%
294,43;302,67;302,67;294,43;-3,10%
303,84;296,19;303,84;296,19;1,46%
299,48;298,11;299,48;298,11;-1,05%
302,651;299,82;302,651;299,82;1,49%
